env_id,mean_episode_length
0,381.0
1,1000.0
2,102.0
3,435.0
4,122.0
5,277.0
6,1000.0
7,188.0
8,1000.0
9,1000.0
10,464.0
11,917.0
12,1000.0
13,1000.0
14,591.0
15,377.0
16,711.0
17,706.0
18,376.0
19,233.0
20,691.0
21,477.0
22,194.0
23,254.0
24,756.0
25,679.0
26,46.0
27,280.0
28,36.0
29,1000.0
30,175.0
31,362.0
32,68.0
33,1000.0
34,1000.0
35,550.0
36,742.0
37,550.0
38,1000.0
39,1000.0
40,57.0
41,381.0
42,1000.0
43,113.0
44,860.0
45,974.0
46,84.0
47,43.0
48,484.0
49,88.0
50,225.0
51,40.0
52,834.0
53,500.0
54,1000.0
55,74.0
56,1000.0
57,533.0
58,1000.0
59,107.0
60,1000.0
61,30.0
62,1000.0
63,1000.0
64,1000.0
65,132.0
66,84.0
67,1000.0
68,248.0
69,1000.0
70,1000.0
71,73.0
72,175.0
73,1000.0
74,1000.0
75,1000.0
76,1000.0
77,1000.0
78,1000.0
79,50.0
80,1000.0
81,113.0
82,1000.0
83,1000.0
84,1000.0
85,1000.0
86,1000.0
87,1000.0
88,1000.0
89,64.0
90,1000.0
91,160.0
92,1000.0
93,1000.0
94,1000.0
95,1000.0
96,1000.0
97,1000.0
98,1000.0
99,73.0
100,1000.0
101,1000.0
102,201.0
103,1000.0
104,1000.0
105,87.0
106,512.0
107,1000.0
108,1000.0
109,1000.0
110,1000.0
111,1000.0
112,1000.0
113,1000.0
114,1000.0
115,42.0
116,1000.0
117,106.0
118,1000.0
119,1000.0
120,1000.0
121,164.0
122,1000.0
123,1000.0
124,1000.0
125,1000.0
126,260.0
127,83.0
128,1000.0
129,1000.0
130,1000.0
131,1000.0
132,1000.0
133,1000.0
134,1000.0
135,1000.0
136,210.0
137,66.0
138,1000.0
139,1000.0
140,1000.0
141,1000.0
142,1000.0
143,227.0
144,1000.0
145,132.0
146,37.0
147,1000.0
148,1000.0
149,78.0
150,87.0
151,1000.0
